Timestamp,Notes,Year,Age,Mileage,Full_AmpH_Capacity,SOH,SOH-R,SOH-C,0.0_19.9,20.0_to_29.9,30.0_to_39.9,40.0_49.9,50.0_59.9,60.0_69.9,70.0_79.9,80.0_100.0,<-220,-220_-210,-210_-120,-210_-20,-20_-5,-5_-0.5,-0.5_3,3_50,50_80,80_160,160_180,> 180,T < -30C,-30< T <-20,-20< T <-10,-10< T <0,0< T <10,10< T <20,20< T < 30,30< T <40,40< T <50,50< T <60,60< T
1/4/2019 14:01:33,,2015,4,13462,64.9,99.61,99.61,99.61,,,,,,,,,,,,,,,,,,,,,0,0,0,1905,46625,106950,60455,14620,0,0,0
1/4/2019 14:04:15,,2015,4,12877,57.6,100,99.61,88.63,2170,4825,8605,14005,21395,26405,43600,133375,10,5,670,10855,7835,15400,195855,22995,595,155,0,0,,,,,,,,,,,
1/4/2019 15:56:00,,2018,1,33,64.9,83.14,73.33,99.61,,,,,,,,,0,0,0,20,80,600,415,325,10,0,0,0,0,0,0,10,90,1090,270,5,0,0,0
1/4/2019 17:38:48,,2015,4,22413,54.7,100,98.43,83.92,2475,3995,8200,15590,26195,44315,72540,250285,15,5,380,18245,11615,24720,327675,15380,610,150,0,0,0,0,0,595,30735,119840,206745,65685,0,0,0
1/5/2019 4:34:47,Imported in the Netherlands ,2014,5,26186,51.7,100,90.2,79.61,3655,5640,12430,24650,38665,49325,63415,170030,,,,,,,,,,,,,,,,,,,,,,,
1/5/2019 9:09:33,Pre-campaign U69,2015,4,33930,56.8,100,99.61,87.45,1200,3995,8810,14255,21620,31135,60000,142780,65,20,495,28510,13620,40535,70000,128875,1455,215,0,0,0,0,0,0,15,70025,205065,8705,0,0,0
1/5/2019 9:18:37,post-campaign U69,2015,4,34047,64.9,99.61,99.61,99.61,1200,3995,8810,14280,21695,31280,60140,143060,65,20,495,28605,13650,40635,70075,129235,1460,215,0,0,0,0,0,0,15,70635,205115,8705,0,0,0
1/5/2019 13:24:02,,2015,4,17719,55.6,100,99.61,85.49,1075,3840,8425,13055,19485,27180,38435,87080,95,30,685,13245,5455,13250,115895,49140,550,210,5,0,0,0,0,90,1860,76465,114635,5530,0,0,0
1/5/2019 13:30:09,,2015,4,11338,58.4,100,99.61,89.8,2500,5005,9355,14670,18580,20300,23585,49390,5,0,85,9650,6850,12080,87610,26680,305,105,0,0,0,0,0,55,1820,54315,54865,32330,0,0,0
1/5/2019 15:35:30,,2016,3,29785,54.7,100,99.61,83.92,595,1995,6395,13455,20060,23285,31050,56085,5,0,275,22725,8190,19330,12665,88715,670,330,5,0,0,0,0,115,320,32050,113235,7210,0,0,0
1/5/2019 16:11:57,,2016,3,20017,57.8,100,99.61,89.02,195,546,1720,3265,5430,8540,20515,77240,0,0,145,16470,7740,17110,10465,64975,550,85,0,0,0,0,0,50,155,38230,72360,6755,0,0,0
1/5/2019 16:18:55,,2015,4,19261,57.8,100,99.6,89.02,955,3340,8425,14670,23320,33820,46605,98320,15,10,480,16490,15980,23690,118610,52950,930,280,5,0,0,0,0,35,525,77495,133270,18135,0,0,0
1/5/2019 16:26:26,has had U69,2016,3,24250,59.4,100,97.65,91.37,11925,18725,28775,41255,49530,56765,65290,165965,20,5,270,20050,11690,35525,327675,34270,635,210,0,0,0,0,0,25,3775,106660,178060,149710,0,0,0
1/5/2019 16:33:39,,2016,3,20323,56.7,100,99.22,87.06,610,2290,7200,19280,31350,43285,63345,155290,0,0,285,17875,10250,17740,244605,30465,1105,315,0,0,0,0,0,15,235,91085,135150,96170,0,0,0
1/5/2019 19:26:47,,2015,4,42500,53.1,87.84,99.61,81.57,20930,38175,61445,89545,104515,106565,98955,146245,40,0,225,33250,10090,22095,327675,32185,1135,345,0,0,0,0,0,0,1270,191595,327675,55310,0,0,0
1/5/2019 22:12:39,,2015,4,25906,64.8,97.25,99.22,99.61,1470,7725,18845,36055,52340,64970,84685,226986,,,,,,,,,,,,,,,,,,,,,,,
1/6/2019 2:52:41,"Imported to Netherlands, 2017",2014,5,25107,44.6,67.06,91.37,78.43,8090,16665,25590,32285,33365,32415,33585,62130,25,5,665,21050,9870,16130,87485,107020,1210,650,15,0,0,0,0,225,7455,101415,90270,44775,0,0,0
1/7/2019 16:38:50,,2013,6,25365,59.5,100,99.22,91.37,75,1160,3285,7460,12135,17250,29455,86605,15,0,190,6610,2910,3910,140215,3240,265,60,0,0,0,0,0,355,16550,67590,52585,20355,0,0,0
1/11/2019 10:42:04,mean when batery have problem to balance,2014,5,52195,46,42,79,71,8395,22850,41515,63950,73485,82045,77045,141870,80,30,1305,40485,18495,34580,257495,156565,1405,680,40,0,0,0,25,665,4550,65830,327675,104715,0,0,0
1/12/2019 11:34:34,Imported to Jordan,2015,4,30667,56,100,99.6,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2019 1:37:31,,2015,4,20750,5,86,88,81,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
1/14/2019 12:15:18,Czech Republic,2014,5,50276,51.9,99.61,87.45,79.61,18500,36855,52555,76230,97635,116270,121665,213790,90,55,3120,34085,14035,32385,327675,105010,1565,630,20,0,0,0,0,105,3590,327675,327675,5575,0,0,0
1/17/2019 12:41:55,,2014,5,32301,51,69.41,91.76,78.43,290,4025,17770,40040,50895,66785,100755,268260,145,75,1550,22570,10235,19215,327675,43190,825,370,10,0,0,0,0,0,4935,106285,327675,82770,0,0,0
1/21/2019 9:12:39,,2013,6,12000,56.8,100,99.61,87.45,0,805,6422,2494,18994,14540,30831,39049,5545,1835,3315,23065,13125,6155,4825,44130,310,175,235,210,0,0,30,875,2995,54105,43705,1120,0,0,0
1/23/2019 10:36:42,"I purchased on 12/15/18 @ <23,000 miles",2015,4,23755,54.6,100,92.55,83.92,6020,13355,22225,37410,52065,63855,74470,184090,10,5,1275,16170,6400,14570,327675,12675,850,270,0,0,0,0,0,0,2020,57815,327657,36075,0,0,0
1/23/2019 22:22:39,,2016,3,15257,62.8,100,99.61,96.47,85,270,650,920,1770,5510,19235,69210,15,5,265,13540,8305,13085,12105,50185,475,65,0,0,0,0,0,0,355,44860,48215,4630,0,0,0
1/26/2019 21:35:28,Post U69,2013,6,58888,59.9,92.55,87.84,92.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2019 21:21:27,I think I will break the curve with this car. Not sure why it is so low.,2013,6,45000,47.5,59.22,85.88,72.94,755,4925,12865,29340,45245,64235,84685,133945,5520,955,2875,51895,11695,54110,175935,63625,2235,1785,2545,2825,0,0,0,0,0,0,0,0,0,0,0
2/2/2019 13:18:52,,2013,6,47394,51.8,100,99.61,79.61,7900,12195,18620,27420,37620,40380,51695,113445,2390,1305,2830,39805,16085,53070,71095,116125,1860,1565,1995,1145,0,0,0,0,4965,152450,147885,3980,0,0,0
2/3/2019 14:48:45,,2015,4,19129,64.7,100,99.61,99.61,4040,13915,19885,27520,35345,37915,43445,86120,425,60,1160,14840,8400,20185,150845,70205,1245,790,30,0,0,0,0,0,3860,59035,148230,57070,0,0,0
2/5/2019 20:37:05,,2013,6,36855,50.9,78.43,83.92,78.04,730,1885,2735,3840,6020,10785,15605,39935,10,5,165,5410,4845,5645,45605,19520,265,65,0,0,0,0,0,0,0,9925,34205,37390,25,0,0
2/6/2019 19:00:40,,2013,6,40000,55,100,100,83.1,1565,9060,19100,36865,64585,93655,107195,281205,,,,,,,,,,,,,0,0,0,595,22965,327675,236255,10340,0,0,0
2/9/2019 22:09:37,,2015,4,23300,64.9,100,99.61,99.61,2215,865,2035,4620,10570,18760,34050,90450,15,5,655,19570,8185,20865,36890,75695,1345,345,0,0,0,0,0,0,615,113500,49220,240,,,
2/12/2019 2:19:08,,2015,4,31331,55.2,100,95.29,84.71,3610,7605,13315,18625,22585,27220,36935,72760,40,25,1170,23010,11455,25830,42875,96710,1155,380,5,0,0,0,0,150,1925,51900,125290,23395,0,0,0
2/12/2019 14:25:33,,2015,4,21929,56.2,100,99.61,86.27,800,3395,9880,15350,23975,33870,65870,245475,10,0,320,18615,9335,29275,301135,39050,750,115,0,0,0,0,0,295,2450,69740,317695,8175,0,0,0
2/15/2019 12:20:33,,2015,4,28898,57.7,100,99.22,88.63,6340,11925,20725,32470,44085,49530,63335,162485,,,,,,,,,,,,,0,0,0,0,1005,203900,167940,18030,0,0,0
3/1/2019 10:47:59,,2014,5,39330,64.1,99.61,87.45,99.61,4265,13745,26400,38415,57670,73420,79370,186785,,,,,,,,,,,,,,,,,,,,,,,
3/2/2019 4:55:15,Ray's F500e,2014,5,30000,54.1,100,95.29,83.14,1980,4025,8920,17415,27835,38380,56325,213180,55,15,310,27240,13105,18105,234135,74085,785,220,0,0,0,0,0,320,6800,96745,184900,79305,0,0,0
3/3/2019 21:18:14,"12/31/2013 sold in California. Second owner in New York, since May 2017",2013,6,22703,52.4,100,99.61,80.39,3370,8725,16285,32630,47885,61610,73890,206115,3050,485,2750,154150,9755,15705,232965,25570,1260,1010,1550,2245,0,0,40,5350,21235,,129305,267480,27105,0,0
3/14/2019 6:55:23,I'm not sure if the mileage meter is rested or not,2013,6,21,46.4,9.8,33.33,71.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/2019 22:11:58,Allen's 500e,2016,3,23428,64.8,100,99.61,99.61,930,3045,6175,10195,13645,16680,34095,105325,40,10,345,19915,10515,21535,13965,122605,965,200,0,0,0,0,0,20,775,62945,105130,21230,0,0,0
6/1/2019 4:13:40,,2015,4,33000,43,9.8,50.6,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/2019 4:51:05,Russia/Spb,2015,4,23000,55.4,100,99.61,85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2019 20:11:50,,2015,4,31432,58.4,100,99.61,89.8,2480,1760,5255,11305,19780,36280,54550,131685,130,25,870,22610,11330,20435,97830,108635,910,320,0,0,0,0,0,190,6850,146915,108065,1085,0,0,0
6/23/2019 16:56:37,,2016,3,19500,64.9,100,98.43,99.61,390,2580,7915,18795,35450,50770,72610,185630,0,0,285,15675,7975,18460,322395,8740,525,90,0,0,0,0,0,0,500,107380,150565,115710,0,0,0
6/23/2019 20:28:45,"2nd owner from 21,600. 1st owner lived in San Francisco",2014,5,22553,53.6,100,92.94,82.35,5765,11055,16295,21605,30175,29970,38945,92015,55,25,335,19265,15240,30555,107930,71890,395,120,0,0,0,0,0,0,565,92595,151695,975,0,0,0
6/24/2019 10:36:32,Ukraine. SOH-R is constantly changing after winter. From 100% to 93% to 96%: always different. SOH-C is getting smaller. Over 6 months decreased by 0.39% (2000 miles). A good balance of cells 9-12 millivolts saw maximum,2015,4,27630,54,100,94.51,83.14,255,585,2345,5385,11725,24415,40035,67295,10,5,315,20730,14665,24035,11515,79920,730,115,0,0,0,0,0,1175,3885,78885,65800,2305,0,0,0
6/26/2019 14:51:07,,2015,4,55891,43.3,14.12,72.94,66.67,3895,18580,43755,667885,81985,99410,123405,286980,385,95,2200,47160,15575,30530,327675,232405,2310,1105,30,0,0,0,0,0,145,119465,327675,230035,405,0,0
6/26/2019 15:27:13,Imperial Valley CA ,2015,4,55891,43.3,14.2,72.94,66.67,3895,18590,43755,67885,82015,99410,123405,286980,385,95,2200,47165,15580,30540,327675,232405,2310,1105,30,0,0,0,0,0,145,119565,327675,230050,405,0,0
6/27/2019 4:20:47,,2015,4,64312,49.6,82.75,87.06,76.08,3215,9195,21205,40885,51575,64065,70470,172970,230,55,1495,47650,22885,35915,55580,264705,1460,570,20,0,0,0,0,275,5185,108450,242890,73790,0,0,0
6/28/2019 18:29:25,,2014,5,42300,51.2,69.8,85.1,78.43,980,1620,5799,11930,23960,35590,52570,142740,,,,,,,,,,,,,,,,,,,,,,,
7/2/2019 23:23:59,,2016,3,11759,59.6,100,99.61,94.9,570,1625,5625,13610,20145,24350,47790,159625,,,,,,,,,,,,,,,,,,,,,,,
7/16/2019 16:34:06,,2015,4,27907,54.4,100,91.76,83.53,700,4555,10085,23025,39230,58965,110285,317150,35,10,830,23405,18795,35840,327675,21110,785,170,0,0,0,0,0,180,25530,327675,135515,4355,0,0,0
7/19/2019 10:11:24,Simon's Fiat,2016,3,11676,61.7,100,99.61,94.9,570,1625,5625,13610,20145,24350,47790,159625,,,,,,,,,,,,,,,,,,,,,,,
8/8/2019 11:52:20,,2016,3,10342,55.9,100,95.69,85.88,6130,8105,10865,18950,25030,29745,35970,83020,45,10,480,8105,4330,,,7265,405,150,5,0,0,0,0,0,1035,73230,110020,33530,15,0,0
